prompt,precision at k,mean reciprocal rank,average precision,cumulative gain,normalized discounted cumulative gain
How should nurses accommodate patients with a polyester allergy in the hospital setting,0.8,0.521,1.0,4,0.571
How is patient and family satisfaction measured at CAIR and what specific tool is used for this purpose,0.8,0.521,1.0,0,0.0
What procedures are performed in the Gastroenterology Procedure Unit,0.8,0.521,0.8,9,0.76
How does the document Murmurspdf address care coordination for patients with cardiac murmurs,0.8,0.521,1.0,4,0.571
How should the successful completion of Set Up Rinsing and Priming of the MA03 be documented in the LDL Apheresis Treatment Record,0.4,0.208,0.6,-5,-0.421
Where can nurses find information about Ambulatory Clinical Assessment in the hospital policies,0.8,0.521,1.0,10,0.974
What should nurses do if they find a kit component that fails inspection during LDL Apheresis treatment,0.2,0.062,0.4,5,0.633
What is the definition of Enhanced Recovery after Surgery ERAS u00ae  according to the American Association of Nurse Anesthetists,0.6,0.458,0.8,-5,-0.421
What is the definition of a consultation as per the hospitals Medical Staff Consultations PolicyProcedure,0.6,0.396,0.8,6,0.733
Who should be contacted in the event of a water supply problem at the hospital,0.8,0.521,1.0,16,1.464
What are the contraindications for administering ondansetron to patients at triage,0.4,0.188,0.6,4,0.571
What are the options for using the MetaNeb Circuit and what are the components required for each option,0.4,0.375,0.6,0,0.0
How soon should reports of action be forwarded to investigators after a convened IRB meeting,0.8,0.521,1.0,8,0.762
What potential device disruptions can be triggered by a water supply problem and who is responsible for overseeing the distribution of water as needed,0.8,0.521,1.0,13,1.153
What is the process for incorporating the comments of the Respondent and Complainant in the draft report during a review of research misconduct,0.8,0.521,1.0,10,1.065
What are the qualifications required for dietitians to provide nutritional care to patients in this hospital according to the policy,0.8,0.521,1.0,10,1.065
What is the responsibility of the Quality Management Committee QMC regarding telephone metrics analysis,0.8,0.521,1.0,8,0.932
What are the steps for confirming proper placement of a postpyloric feeding tube and when can the tube be used for feeding,0.8,0.521,1.0,5,0.503
What is the definition of an Adverse Event according to the hospitals policy,0.4,0.375,0.6,7,0.58
Who is responsible for publishing the NPCO in the document Specialty Pharmacy  Discharge from Pharmacy Servipdf and what is the date of publication,0.8,0.521,1.0,2,0.286
What is the first step for the assessing RN when administering Ondansetron at triage according to the hospital policy,0.8,0.521,1.0,20,1.685
Why is the use of the Reviewer Worksheet mandatory for the primary and secondary reviewers in the IRB electronic system,0.8,0.521,1.0,5,0.59
What is considered an essential function of a position according to the hospitals pregnancy and pregnancyrelated accommodations policy,0.8,0.521,1.0,3,0.27
What personal protective equipment PPE is required for nurses when performing suctioning of an artificial airway as outlined in the hospital policy,0.8,0.521,1.0,3,0.429
What are the steps involved in bypassing ultrafiltration of bank blood before a blood transfusion,0.8,0.521,1.0,-5,-0.421
Where can nurses find the forms or templates for completing the Adverse event report and Insurance accident report mentioned in the hospital policies,0.6,0.271,0.8,3,0.376
How does the specialty pharmacy ensure patient access to services according to hospital policy,0.8,0.521,1.0,15,1.357
Who are the approvers for the Pharmacy  Therapeutics section of the document and what are their respective approval dates,0.6,0.438,0.8,1,0.143
What are the criteria for making a finding of Research Misconduct according to the hospitals policy,0.6,0.458,0.8,10,1.065
What steps should be taken to verify that a patient has a yes value under Consent Signed in CHeRP,0.6,0.396,0.8,4,0.571
What factors does the Department of Children and Families DCF consider when making a determination about providing psychiatric treatment or administering Psychotropic medications to a child under their care and protection,0.8,0.521,1.0,13,1.241
Who is the approver for the publication of the Hazardous Drug PPE for Sterile Compounding  SOP document,0.8,0.521,1.0,0,0.0
What is the expected timeframe for completing nonurgent consults and under what circumstances can this timeframe be adjusted,0.0,0.0,0,1,0.143
What are the species covered for antibody production according to the hospital policy,0.8,0.521,1.0,6,0.646
What documentation is required to confirm the placement of the feeding tube prior to use,0.8,0.521,1.0,16,1.415
What are the different types of safe patient handling equipment available to assist with patient mobilization,0.8,0.521,1.0,5,0.447
What steps should be taken to preserve research records and evidence in the event of research misconduct,0.8,0.521,1.0,6,0.752
Which specific body fluids secretions and excretions are included in the application of Standard Precautions as outlined in the policy,0.8,0.521,1.0,8,0.932
According to the hospitals policy what are the guidelines for initial ventilatory support for pediatric patients receiving ECMO,0.8,0.521,1.0,-5,-0.421
How should the machine be cleaned following each use according to the hospital policy,0.6,0.458,0.8,-5,-0.421
How should a nurse perform a vigorous mechanical scrub to the needleless connector with alcohol pad,0.8,0.521,1.0,-5,-0.421
In the event of a failure requiring additional resources who is responsible for notifying the Satellite Administrator on Call AOC and what is their contact information,0.8,0.521,1.0,4,0.571
How can a nurse obtain access to the job documents such as the Patient Care Manual and Ambulatory Clinical Assessment if they have restricted access,0.8,0.521,1.0,8,0.646
Who is considered a part of the Medical Staff as defined in the Boston Childrens Hospital Medical Staff Bylaws,0.8,0.521,1.0,7,0.788
What vital signs should be monitored preprocedure hourly during treatment and postprocedure for a patient undergoing LDL Apheresis Using Liposorber MA03 Polic,0.8,0.521,1.0,2,0.286
Who is responsible for approving the Training and Education Requirement Policy according to the document,0.8,0.521,1.0,4,0.571
In research that does not involve federal funding what option does the RIO have for conducting an inquiry and investigation for a more streamlined and timely review,0.8,0.521,1.0,3,0.429
Under what circumstances should CPAP therapy be initiated during a diagnostic study for a splitnight study,0.4,0.375,0.6,5,0.662
What are the recommended sizes for postpyloric feeding tubes and when should a 10 Fr 43 in feeding tube be considered,0.8,0.521,1.0,-5,-0.421
How long do Multiple Wakefulness Tests MWT trials typically last and under what circumstances may a 20minute trial be ordered,0.8,0.521,1.0,14,1.315
What is the contact information for Security Manager Mark Tulipano in case of timesensitivelife safety concerns,0.8,0.521,1.0,20,1.685
Who is the Cochair Approval for the onboarding process,0.4,0.375,0.4,1,0.071
What equipment and medications are required for an esophageal study procedure,0.6,0.438,0.8,4,0.571
What is the protocol for HSCT patients in the Emergency Department and who is responsible for coordinating their care in this setting,0.8,0.521,1.0,5,0.662
What are the guidelines for administration of medication by the enteral tube route as mentioned in the document,0.8,0.521,1.0,12,1.153
What specific information should the PACU nurse provide to the unit nurse before transfer using the IPASS report tool,0.8,0.521,1.0,9,0.969
What are the specific postboil water instructions that hospitals need to follow during a water supply problem,0.8,0.521,1.0,5,0.421
What are the specific conditions that require contacting the Medical Control Physician before transport,0.8,0.521,1.0,9,1.003
What are the responsibilities of the Registered Nurses RNs working in the 10 Northwest inpatient surgical unit,0.8,0.521,1.0,7,0.842
How should the nursing staff respond if there is a suspected or confirmed contamination of water within the water supply system at North Dartmouth,0.8,0.521,1.0,7,0.63
What are the specific situations that require gown and glove use for contact with patients known to be colonized with a MDRO,0.8,0.521,1.0,9,1.003
What supplies are needed for the central venous catheter CVC needleless connector procedure,0.8,0.521,1.0,12,1.192
What are the types of evidencebased psychotherapies that OPS clinicians provide and in what delivery options are they available,0.4,0.375,0.6,4,0.571
How soon should an adverse or near miss event be reported and through what channels should it be reported according to the hospitals policy,0.8,0.521,1.0,11,1.03
According to the Patient Care Manual what are the steps for identifying and verifying a patient before a minimally invasive procedure,0.8,0.521,1.0,2,0.233
When does the convened IRB typically meet and how much notice do IRB members receive prior to the meeting,0.8,0.521,1.0,0,0.0
What symptoms is Ondansetron intended to provide rapid relief for in patients,0.0,0.0,0,7,0.842
What action is suggested in the text related to the attached file,0.6,0.458,0.6,-5,-0.421
What should the clinical team do if a patient or family objects to the use of blood or blood products for religious or other reasons,0.8,0.521,1.0,8,0.932
What equipment and materials are required for cleaning the MA03 Apheresis System,0.2,0.062,0.4,4,0.571
Under what circumstances can the team composition be altered according to the hospital policy,0.6,0.438,0.8,3,0.429
How is Earned Time deducted for Exempt Employees on Observed Holidays occurring on weekdays,0.8,0.521,1.0,16,1.376
What is the process for suggesting a voting action at a convened IRB meeting,0.8,0.521,1.0,8,0.932
What are the annual requirements for a Registered Nurse RN to maintain compliance with hospital policies and the Massachusetts Nurse Practice Act,0.8,0.521,1.0,13,1.273
How should a nurse initiate the use of a patient handling device according to the hospital policy,0.8,0.521,1.0,4,0.571
According to the Holidays and Holiday Pay Policy what is the holiday premium pay for time worked by a NonExempt or Exempt Plus Employee on an Observed Holiday,0.8,0.521,1.0,10,0.979
What are the steps for installing the Liposorber MA03 LDL Adsorption Column,0.6,0.458,0.8,0,0.0
In cases of suspected child abuse who should the nurses contact according to the hospital policy,0.8,0.521,1.0,12,1.153
What is the title of the document that provides a guide to onboarding nonBCH employed physicians,0.0,0.0,0,-5,-0.421
Which types of catheters are included in the category of Dialysis and Apheresis Catheters once converted,0.8,0.521,1.0,20,1.685
How are unit and hospital wide guidelines and protocols for patient management utilized evaluated and updated at Childrens Hospital Boston Department of Nursing,0.8,0.521,1.0,20,1.685
What are the steps to be followed for preparing the return of blood during the LDL Apheresis procedure as outlined in the document,0.6,0.438,0.8,-5,-0.421
What is the process for obtaining a replacement ID badge if the employees name and ID number is not active or cannot be identified in the system,0.8,0.521,1.0,5,0.643
What are the steps involved in rinsing and priming the LA15 for LDL Apheresis using Liposorber MA03,0.6,0.458,0.6,-5,-0.421
Where can nurses find the hospital guidance for disclosing adverse events as mentioned in the document,0.8,0.521,0.8,1,0.071
What is the role of a Communications Specialist in relation to the Transport Team and other medical personnel involved in transport,0.8,0.521,1.0,10,1.075
When should the Senior Leadership Communication Center SCLC be notified of a formal HICS activation,0.8,0.521,1.0,20,1.685
What are the essential elements for continuous cardiorespiratory monitoring during cardioversion defibrillation and pacing procedures,0.2,0.25,0.4,-5,-0.421
What equipment is typically used for transferring blood from the pump circuit to the cell saver,0.8,0.521,1.0,7,0.842
What are the potential sources of transmission for CRE and how can healthcare workers minimize the risk of spreading the infection to other patients,0.8,0.521,1.0,0,0.0
Who is responsible for orienting new employees to departmentspecific hazards and ensuring all employees receive safety continuing education on department specific safety concerns,0.8,0.521,1.0,8,0.609
What is the recommended protocol for treating shock after a successful conversion to a perfusing rhythm following cardioversion or defibrillation,0.6,0.438,0.8,-5,-0.421
Who is responsible for managing the response to a suspicious package or bomb threat at North Dartmouth according to the hospital policy,0.8,0.521,1.0,20,1.685
What are some examples of films that must be kept in a more secure location according to the hospital policy,0.8,0.521,1.0,8,0.857
How do you bleed air from the arterial line during the rinse process and what should you do when the rinse mode is complete,0.4,0.375,0.6,-5,-0.421
Who is authorized to handle the return of controlled substances  a nurse pharmacy technician or intern,0.8,0.521,1.0,6,0.752
Who is the designated Approver for the step described in the Approval Signatures section of the PFS  PCP Discrepancy PolicyProcedure document,0.4,0.312,0.6,0,0.0
What parameters should be monitored during and after suctioning an artificial airway,0.6,0.458,0.8,-5,-0.421
When is it necessary for the Primary Provider to have a discussion with the patient andor the parentguardian prior to the start of a recommended procedure intervention or treatment,0.8,0.521,1.0,7,0.756
How are events classified and recorded in the Safety Event Reporting System SERS at Boston Childrens Hospital,0.8,0.521,1.0,12,1.039
What are the key steps for verifying the prescribers order for enteral feeding schedule type volume and duration,0.8,0.521,1.0,-5,-0.421
What procedures and services are performed in CAIR during outpatient visits,0.8,0.521,1.0,10,1.049
When should direct communication between the attending medical staff member and consultant be initiated for a patient with critical issues,0.8,0.521,1.0,4,0.571
What are the potential reasons for discharging a patient from the specialty pharmacy,0.8,0.521,1.0,4,0.571
How should nurses document specific Safe Lifting Transferring and Moving Patients and Equipment information according to the Patient Care Manual,0.8,0.521,1.0,6,0.704
How should Occupational Health serve as a resource for questions related to Standard Precautions as outlined in the hospital policy,0.8,0.521,1.0,9,0.947
What are the recommended administration methods for enteral feedings by gravity,0.8,0.521,1.0,16,1.464
Who is the NPCO Signatory 2 and what is their role in the approval process for enteral feeding during red blood cell transfusion,0.8,0.521,1.0,0,0.0
How does the hospitals policy recommend handling the draft investigation report and what input is requested from the Respondent and Complainant,0.8,0.521,1.0,11,0.948
How should the nurse assess the functional mobility of a patient to determine the most appropriate method of mobilization,0.8,0.521,1.0,5,0.503
What certifications and licenses are required for all RNs working in the Gastroenterology Procedure Unit,0.6,0.396,0.8,6,0.733
What action is requested in the text related to the attached file,0.4,0.375,0.6,-5,-0.421
What practice parameters do splitnight studies follow according to the AASM,0.6,0.396,0.8,6,0.733
What are the specific requirements for the sterile nitrile gloves used during the compounding of hazardous drugs as per the hospital policy,0.8,0.521,1.0,14,1.296
What are the different concentrations and volumes of Fentanyl and Midazolam infusions listed in the document,0.6,0.271,0.8,4,0.571
What should be done if a patient has a Sepsis Trigger Tool score of 4 or higher,0.6,0.438,0.8,5,0.503
What is the time frame for giving a fluid bolus to a patient if needed as per hospital policy for sepsis management,0.8,0.521,1.0,5,0.662
What are the annual requirements for staff members in terms of hospital competencies and selfevaluation,0.8,0.521,1.0,7,0.656
When should a patient with a new murmur be referred to cardiology for further evaluation,0.8,0.521,1.0,5,0.662
What are the requirements for an advance practice provider APP to provide overnight medical care for Pediatric Hematopoietic Stem Cell Transplant HSCT patients,0.8,0.521,1.0,7,0.823
When should the Medical Control Physician be contacted according to the clinical protocol,0.8,0.521,1.0,11,1.075
Who is responsible for notifying all departments and the Satellite AOC when there is an All Clear at North Dartmouth,0.8,0.521,1.0,20,1.685
Which types of catheters are included in the category of Dialysis Catheters and Apheresis Catheters once converted,0.8,0.521,1.0,20,1.685
Who is responsible for gathering surgical supplies if a surgeon will be participating in the Mobile ECMO transport,0.8,0.521,1.0,5,0.59
What licenses and certifications are required for an Advanced Practice Registered Nurse APRN in Massachusetts,0.8,0.521,1.0,9,1.003
Who is included in the scope of personnel involved in the post anesthesia care unit at all BCH sites,0.8,0.521,1.0,4,0.466
How is the primary reviewer of an unanticipated event expected to present the event and provide comments during the convened IRB meeting,0.8,0.521,1.0,5,0.537
What steps should be taken before initiating LDL Apheresis treatment using the LIPOSORBERu00ae LA15 System,0.4,0.208,0.6,5,0.662
What should a nurse do if it is not clear whether a cognitively limited adult patient has sufficient understanding of a procedure to provide informed consent,0.8,0.521,1.0,8,0.688
What is the total fulltime equivalent FTE for psychology interns in the staffing plan,0.6,0.458,0.8,2,0.233
What is the required action for investigators before their protocols are placed on the IRB meeting agenda,0.8,0.521,1.0,12,1.192
According to the hospital policy what is the time limitation for dismissing an Allegation of Research Misconduct,0.6,0.438,0.8,9,1.003
How should nurses document the patients weight allergies time dose delivery system and assessments during the medication administration process,0.8,0.521,1.0,17,1.519
What is the recommended procedure for attaching the mask to the 22mm adapter when using the MetaNeb system as per the instructions on page 18 of the User Manual,0.8,0.521,1.0,4,0.571
What are examples of clinical treatments and procedures that require a written consent form according to the hospital policy,0.8,0.521,1.0,6,0.723
When should gravity feedings be administered and what equipment should be available at the patient bedside at all times,0.6,0.458,0.8,6,0.575
What is the process for accessing the intraoperative report containing information about who was in the room during a procedure intervention or treatment,0.8,0.521,1.0,-5,-0.421
What considerations should be made for trach and ventdependent patients in terms of postoperative planning,0.8,0.521,1.0,5,0.609
When are transport nurse specialists and transport paramedics authorized to perform transcutaneous pacing on patients,0.8,0.521,1.0,20,1.685
According to the Pennsylvania Patient Safety Advisory what measures are recommended for preventing the retention of foreign objects during interventional radiology procedures,0.8,0.521,1.0,0,0.0
What steps should be taken to ensure all paste residue is removed from the patients skin after removing the electrodes,0.8,0.521,1.0,16,1.464
What signs or symptoms should prompt a surgeon to consider a deep incisional SSI in a patient with a spinal fusion implant in place,0.8,0.521,1.0,8,0.932
What are the criteria for reporting an event through the hospitals internal webbased Safety Event Reports System SERS and how should adverse drug events be reported,0.8,0.521,1.0,11,1.12
According to the Patient Care Manual what are the guidelines for patient assessment documentation,0.8,0.521,1.0,12,1.218
What is the primary responsibility of the Institutional Review Board IRB at Boston Childrens Hospital and what does the IRB review research protocols for,0.8,0.521,1.0,6,0.752
What is the main focus of the guideline statements provided in the document regarding trach and trachventdependent patients,0.6,0.458,0.8,10,1.075
How does the hospital aim to continuously improve care delivery and patient outcomes and what specific focus areas are emphasized,0.8,0.521,1.0,14,1.334
What are the responsibilities of CH EmployeesStaff regarding Standard Precautions according to the hospital policy,0.8,0.521,1.0,8,0.932
When should 12micron filters and tubing be changed and under what circumstances should the change frequency be adjusted,0.6,0.458,0.8,4,0.571
When should the attending medical staff member request additional consultation from the same consultant or another service,0.8,0.521,1.0,5,0.421
How should the huddle in sepsis trigger tool be documented and what information should be included in the documentation,0.8,0.521,1.0,5,0.662
What is the header of the document Admission,0.4,0.333,0.6,-5,-0.421
What are the target ranges for pH PCO2 PO2 HCO3 K Na and Ionized Ca in the Circuit Panel lab results before patient interaction,0.8,0.521,1.0,-5,-0.421
What is the date of required departmental reviewapproval for the document,0.8,0.521,1.0,0,0.0
How do you calculate the plasma volume for FSGS patients in order to determine the amount to be treated during LDL Apheresis treatment,0.8,0.521,1.0,4,0.571
How should a nurse document the time and date of hearing screening on the Vital Signs Flow Electronic Documentation Sheet,0.8,0.521,1.0,7,0.76
What is the concentration of the Morphine Neonatal Liq in milligrams per milliliter,0.4,0.146,0.6,-5,-0.421
What is the date of publication for the Hazardous Drug PPE for Sterile Compounding  SOP document,0.6,0.396,0.8,0,0.0
What are the key components required to be discussed with the patient andor parentguardian before obtaining informed consent at Boston Childrens Hospital,0.8,0.521,1.0,5,0.662
What is the purpose of a tilt table test and what does it involve,0.6,0.396,0.8,4,0.571
What type of dressing is recommended for postpyloric feeding tube insertion,0.8,0.521,1.0,0,0.0
What information should be documented in the Respiratory ROS section of the PAEF for ventdependent patients during preoperative planning,0.8,0.521,1.0,3,0.429
What is the specified header under which the procedures for handling original films are outlined in the hospitals policy document,0.4,0.146,0.6,-5,-0.421
What is the purpose of a sepsis huddle and when should it be initiated according to the hospital policy,0.8,0.521,0.8,4,0.361
What are the components and concentrations of Epidural 2 solution,0.6,0.396,0.8,0,0.0
How should a nurse prime the filter to remove air and what should they do if they notice air bubbles in the filter and tubing,0.8,0.521,1.0,9,1.003
What specific certifications and qualifications are required for MDsDOs in the Department of Psychiatry  Behavioral Health Services according to the document,0.8,0.521,1.0,1,0.09
How are staffing plans developed at the hospital based on the American Nurses Association principles of Nurse Staffing and what factors do these principles address,0.8,0.521,1.0,10,1.018
What is the process for deactivating an incident at North Dartmouth according to the hospital policy,0.8,0.521,1.0,17,1.519
What equipment is required for noninvasive blood pressure monitoring during cardioversion defibrillation and pacing procedures,0.6,0.438,0.8,-5,-0.421
What are the professional requirements for maintaining active registration and licensure status as a dietitian in Clinical Nutrition,0.8,0.521,1.0,5,0.662
Who is responsible for cosigning the order for Ondansetron administration at triage as per the hospital policy,0.4,0.375,0.4,0,0.0
What specific topic should be discussed regarding the antibiotic plan during the huddle,0.4,0.333,0.6,4,0.571
How often is the program for annual education around signs and symptoms of TB provided to all staff,0.8,0.521,1.0,4,0.429
What are the potential risks associated with transfusing red blood cells with high potassium levels and how can these risks be minimized,0.8,0.521,1.0,4,0.571
What are some of the underlying diagnoses represented in the patient population served by the Center for Advanced Intestinal Rehabilitation CAIR,0.4,0.333,0.6,4,0.571
What are the steps to take if there is no response within 15 minutes during a Sepsis Huddle,0.8,0.521,1.0,8,0.932
How does Boston Childrens Hospital encourage the identification and reporting of adverse events by its staff,0.8,0.521,1.0,3,0.304
How does the hospital handle patient safety events and complaints and what reporting systems are in place for these incidents,0.8,0.521,1.0,7,0.842
What are some examples of patient conditions that would necessitate the use of a postpyloric feeding tube according to the hospital policy,0.8,0.521,1.0,9,0.919
What is the date of approval for the step described in the Approval Signatures section of the PFS  PCP Discrepancy PolicyProcedure document,0.6,0.396,0.8,0,0.0
What documentation is required from the HSCT intake attending regarding the recipients performance status and remission status in the EMR prior to receiving donor lymphocyte infusion,0.8,0.521,1.0,0,0.0
Which configurations are available for endotracheal tubes and tracheostomy tubes with sizes 8 10 12 and 14 Fr,0.6,0.396,0.8,-5,-0.421
What are the key components of the care coordination process for a patient with a polyester allergy,0.8,0.521,1.0,5,0.662
Where can the nurses find the guideline statements for the ERAS protocol in the document,0.6,0.458,0.8,-5,-0.421
What are some examples of minimally invasive electrophysiology EP studies that nurses in the Cardiovascular Program may provide care for,0.8,0.521,1.0,4,0.571
According to the hospital policy how soon must employees notify their supervisor and Occupational Health Service after being involved in a workrelated accident,0.8,0.521,1.0,9,1.003
What are the considerations for documenting adequate sleep before conducting the Maintenance of Wakefulness Test MWT,0.8,0.521,1.0,9,1.003
Who approved the publication of the NPCO in the document Pharmacy  Therapeutics Committee Charterpdf and what was the date of approval,0.6,0.458,0.8,0,0.0
What is the document filename for the policy on LDL Apheresis Using Liposorber MA03,0.4,0.375,0.6,-5,-0.421
What are the vital signs that should be monitored noninvasively during cardioversion defibrillation and pacing procedures,0.6,0.438,0.8,-5,-0.421
What is the title of the attached file related to nonsterile compounding,0.6,0.271,0.8,-5,-0.421
In the context of allogeneic recipients what are the specific requirements for Human Leukocyte Antigen HLA typings as outlined in the hospital policy,0.8,0.521,1.0,8,0.932
What is the title of the document and who are the parties involved in the Service Level Agreement SLA,0.4,0.333,0.6,-5,-0.421
What is the recommended technique for circuit priming preparation,0.8,0.521,0.8,13,1.193
What are the potential causes of a water supply problem in the North Dartmouth area according to the hospitals response plan,0.8,0.521,1.0,9,0.908
What are the nursing standards and guidelines for patient documentation as outlined in the hospital policies,0.8,0.521,1.0,20,1.685
What is the purpose of the document 21 Controlled Substpdf in relation to the pharmacy,0.6,0.438,0.8,-5,-0.421
What equipment should be included in the emergency cart for the care of these patients,0.8,0.521,1.0,1,0.143
According to the hospital policy what are some examples of procedures or treatments that do NOT require a consent form,0.8,0.521,1.0,4,0.571
How should a provider amend a signed informed consent document in the patients medical record,0.8,0.521,1.0,13,1.263
What are the discharge guidelines for ambulatory surgery patients who have received sedation in the CPU,0.8,0.521,1.0,6,0.723
Why is it important for a Communications Specialist to maintain continuity and accuracy in dispatching transport calls,0.8,0.521,1.0,3,0.376
What is the hospital doing to support research education and training for all clinical staff and how can new nurses get involved in these opportunities,0.8,0.521,1.0,0,0.0
What steps should be followed to look up authorized study providers in the hospitals protocol,0.8,0.521,0.8,17,1.519
According to the hospital policies what are the recommended strategies for preventing central Lineu2013Associated bloodstream infections in acute care hospitals as of 2014,0.8,0.521,1.0,0,0.0
What is the meaning of PPE when it comes to sterile compounding,0.8,0.521,1.0,3,0.429
What special considerations should be taken for trach and trachventdependent patients perioperatively,0.6,0.458,0.8,4,0.466
What are the responsibilities of the RIO and RCO during the Preliminary Assessment of an Allegation of Research Misconduct,0.6,0.458,0.8,10,1.075
What are the responsibilities of the Primary Provider when signing the consent form for a planned procedure intervention or treatment,0.8,0.521,1.0,10,1.065
What are the potential negative outcomes associated with excess free iron in bank blood and how can ultrafiltration be used to correct this issue before transfusion,0.8,0.521,1.0,9,1.003
Why is it important to verify termination of a pregnancy before proceeding with a planned procedure for a patient who has recently terminated a pregnancy,0.8,0.521,1.0,3,0.376
What is the protocol for the Primary Provider if something unexpected occurs during a procedure intervention or treatment,0.8,0.521,1.0,4,0.571
When is direct notification made to the President  CEO for activations with time sensitivelife safety concerns,0.8,0.521,1.0,4,0.366
What items must be accounted for and documented during interventional radiology procedures,0.6,0.458,0.8,6,0.403
In the context of Focal Segmental Glomerulosclerosis FSGS what are the conditions under which standard treatment options are considered unsuccessful or not well tolerated for the patient,0.8,0.521,1.0,-5,-0.421
According to the hospitals Standard Precautions policy what are the primary strategies for preventing and controlling healthcareassociated infections,0.8,0.521,1.0,12,1.218
What criteria must a patient meet in order to be transferred from the PACU to an inpatient unit as outlined in the hospital policies,0.8,0.521,1.0,9,0.993
How often should a consent be reviewed and updated for outpatient services and under what circumstances would a new consent be required for recurrent treatments and procedures,0.8,0.521,1.0,5,0.662
What is the process for handling a transport request in terms of communication responsibilities for the Communications Specialist,0.8,0.521,1.0,16,1.464
What is the recommended frequency for assessing the patients original condition mentioned in the document,0.6,0.458,0.8,8,0.932
What are the process steps for preop labs in the Renal Biopsy procedure,0.8,0.521,1.0,4,0.571
What program completion is necessary for a nurse to become a GI Associate according to the hospital policy,0.8,0.521,1.0,0,0.0
How is heparinized plasmalyte added to the heparinized blood bag in the process described,0.8,0.521,1.0,-5,-0.421
What form should be used to document all kit and lot numbers used in LDL Apheresis treatment,0.4,0.312,0.6,1,0.143
When should the specialty of a consultant contacted to evaluate a patient be documented in the patients medical record,0.8,0.521,1.0,10,1.065
What aspects of the patients condition and response to enteral alimentation therapy should be included in the Electronic Documentation Progress Notes,0.8,0.521,1.0,16,1.439
How are patient placement decisions made on 10 Northwest unit and what specific patient populations are cared for under specific protocols,0.8,0.521,1.0,2,0.233
What are the responsibilities of the nurse if an infant does not pass the hearing test prior to discharge according to the hospital policy,0.8,0.521,1.0,13,1.244
What processes does Boston Childrens Specialty Pharmacy have in place to collect data on patient access to services,0.8,0.521,1.0,14,1.334
When does the Investigation timeline officially begin according to the hospital policy on research misconduct,0.8,0.521,1.0,0,0.0
What are the definitions of fabrication falsification and plagiarism in the context of research misconduct,0.6,0.458,0.8,3,0.429
How should nurses handle the related content processes when encountering them during their shift,0.2,0.25,0.4,-5,-0.421
What is the time frame for subsequent continuing reviews as determined by the IRB and what factors can influence this time frame,0.8,0.521,1.0,8,0.903
How often should vital signs be monitored for loss of capture during transport post cardioversion or defibrillation and what should be included in each set of vital signs documentation,0.8,0.521,1.0,11,1.12
What tasks are the helper responsible for during the admission process in the PACU,0.8,0.521,1.0,7,0.789
How does the MetaNeb System help in preventing or resolving patchy atelectasis,0.0,0.0,0,8,0.932
What action does the text instruct the reader to take in relation to the attached file,0.6,0.438,0.8,-5,-0.421
In the event of a bomb threat or suspicious package who needs to confirm that the incident has passed before deactivation can be made,0.8,0.521,1.0,20,1.685
What specific items will be ordered for a patient with a polyester allergy to ensure their comfort and safety during their stay,0.8,0.521,1.0,4,0.571
What specific information is included in the peritoneal dialysis daily orders CAPD Manual document,0.8,0.521,1.0,12,1.218
What is the role of ECMO in the MSICU Clinical Practice Guideline,0.6,0.458,0.8,13,1.279
What special needs do patients with an allergy to polyester have when it comes to bed linen and clothing,0.4,0.375,0.6,5,0.662
What are the necessary equipment components for using the MetaNeb Controller with a ventilator inline,0.6,0.396,0.8,-5,-0.421
Who discovered penicillin,0.0,0.0,0,0,0.0
What is the capital city of Australia,0.4,0.146,0.4,0,0.0
When did the Titanic sink,0.0,0.0,0,0,0.0
Where is the Mona Lisa displayed,0.0,0.0,0,0,0.0
Why is the sky blue,0.0,0.0,0,0,0.0
What song is most popular right now,0.0,0.0,0,0,0.0
What is the chemical symbol for gold,0.0,0.0,0,0,0.0
When was the Declaration of Independence signed,0.4,0.312,0.4,0,0.0
Where is the Great Barrier Reef located,0.0,0.0,0,0,0.0
Are dogs better than cats,0.0,0.0,0,0,0.0
Who directed the movie Jurassic Park,0.0,0.0,0,0,0.0
What is the main ingredient in guacamole,0.0,0.0,0,0,0.0
When was the first moon landing,0.0,0.0,0,0,0.0
Why is Boston Childrens a good hospital,0.6,0.458,0.8,0,0.0
Why is the ocean salty,0.0,0.0,0,0,0.0
Who wrote To Kill a Mockingbird,0.0,0.0,0,0,0.0
What is the tallest mountain in the world,0.0,0.0,0,0,0.0
When was the Eiffel Tower completed,0.0,0.0,0,0,0.0
Where is the Colosseum located,0.0,0.0,0,0,0.0
Why do leaves change color in the fall,0.6,0.271,0.8,0,0.0
Who developed the theory of relativity,0.0,0.0,0,0,0.0
What is the currency of Japan,0.0,0.0,0,0,0.0
When did World War II end,0.0,0.0,0,0,0.0
Where is the Taj Mahal located,0.0,0.0,0,0,0.0
Why do we yawn,0.0,0.0,0,0,0.0
Who was the first person to step on the Moon,0.6,0.458,0.6,0,0.0
What is the largest ocean on Earth,0.0,0.0,0,0,0.0
When was the first iPhone released,0.0,0.0,0,0,0.0
Where is the Louvre Museum located,0.0,0.0,0,0,0.0
Why is the Mona Lisa famous,0.0,0.0,0,0,0.0
Who is the Greek god of war,0.0,0.0,0,0,0.0
What is the hardest natural substance on Earth,0.2,0.25,0.4,0,0.0
When was the Great Wall of China built,0.0,0.0,0,0,0.0
Where should I go get lunch,0.0,0.0,0,0,0.0
